text,triplets,relations,definitions
Yes It Is features some of the Beatles' most complex and dissonant three-part vocal harmonies and showcases George Harrison's early use of volume pedal guitar.,"[['Yes It Is', 'performer', 'The Beatles']]",['performer'],performer: The subject entity is associated with or performed by the group or individual specified by the object entity.
"Derek Johnson ( musician )'s first release was with Jesus Culture, Emerging Voices, with band member, Justin Jarvis, and it was released in 2012, yet he joined the group in 2009.","[['Derek Johnson ( musician )', 'record label', 'Jesus Culture']]",['record label'],record label: The subject entity is associated with or signed to the record label specified by the object entity.
"Dennis Taylor won 1984 Grand Prix ( snooker )'s first major tournament after 13 years as a professional by defeating Cliff Thorburn 10-2 in the final, emotionally dedicating the victory to his mother, who had died shortly before the tournament was held.","[['1984 Grand Prix ( snooker )', 'winner', 'Dennis Taylor']]",['winner'],winner: The subject entity is the individual or team that achieved victory in the event specified by the object entity.
"Richard Troxell is an American operatic tenor who has sung leading roles in the opera houses of North America, Europe and Asia since his professional debut in 1993.","[['Richard Troxell', 'voice type', 'Tenor']]",['voice type'],voice type: The subject entity is classified as having the vocal range or type specified by the object entity.
Santiago Rusiñol was one of the leaders of the Catalan modernisme movement.,"[['Santiago Rusiñol', 'movement', 'Modernisme']]",['movement'],movement: The subject entity is associated with or is a part of the movement specified by the object entity.
"The Rivanna's tributaries originate in the Blue Ridge Mountains; via the James River, Rivanna River is part of the watershed of Chesapeake Bay.","[['Rivanna River', 'mouth of the watercourse', 'James River']]",['mouth of the watercourse'],mouth of the watercourse: The subject entity is the point at which the watercourse specified by the object entity flows into or meets another body of water.
"As DCI, one of William Raborn's primary responsibilities was to direct the Central Intelligence Agency.","[['William Raborn', 'employer', 'Central Intelligence Agency']]",['employer'],employer: The subject entity is employed by or works for the organization specified by the object entity.
"Phil Pask played rugby union for Northampton Saints, making one hundred and fifty appearances for the team.","[['Phil Pask', 'sport', 'Rugby union'], ['Phil Pask', 'member of sports team', 'Northampton Saints']]","['sport', 'member of sports team']","sport: The subject entity is associated with or participates in the sport specified by the object entity.

member of sports team: The subject entity is a member of the sports team specified by the object entity."
"As a member of the Karen National Liberation Army, Poe maintained the rank of general officer and served as the commander in chief of the group prior to Saw Mutu Say Poe's election as chairman of the Karen National Union.","[['Saw Mutu Say Poe', 'member of political party', 'Karen National Union']]",['member of political party'],member of political party: The subject entity is affiliated with or belongs to the political party specified by the object entity.
Homie the Clown later used it to help him when directing The Simpsons Movie.,"[['Homie the Clown', 'part of the series', 'The Simpsons']]",['part of the series'],part of the series: The subject entity is included in or is a component of the series specified by the object entity.
"McCarty was elected to the Florida House of Representatives, and served as Daniel T. McCarty's speaker, and was later elected the 31st Governor of Florida.","[['Daniel T. McCarty', 'position held', 'Governor of Florida']]",['position held'],position held: The subject entity occupied the specified position or role represented by the object entity.
"Militari is a district in the western part of Bucharest, in Sector 6.","[['Militari', 'part of', 'Bucharest']]",['part of'],part of: The subject entity is a component or subdivision of the larger entity specified by the object entity.
"GFS Chemicals Inc, formerly known as G. Frederick Smith Chemical Company, is a privately owned specialty chemical company with headquarters in Powell, Ohio and manufacturing facilities in Columbus, Ohio.","[['GFS Chemicals', 'founded by', 'G. Frederick Smith']]",['founded by'],founded by: The subject entity was established or created by the individual or entity specified by the object entity.
HMAS Air Sprite (Y 256/SAR 6301) was an air-sea rescue vessel operated by the Royal Australian Navy (RAN).,"[['HMAS Air Sprite', 'operator', 'Royal Australian Navy']]",['operator'],operator: The subject entity is operated or managed by the organization or entity specified by the object entity.
Judge Kosma Glavas sentenced Diar to the death penalty after Nicole Diar was suggested by the Ohio jury in October 2005.,"[['Nicole Diar', 'place of birth', 'Ohio']]",['place of birth'],place of birth: The subject entity was born in the location specified by the object entity.
Timespinner was funded through the crowdfunding platform Kickstarter in June 2014.,"[['Timespinner', 'sponsor', 'Kickstarter']]",['sponsor'],sponsor: The subject entity received financial support or backing from the entity specified by the object entity.
"Flor y canela is an original story of Spanish writer Benito Pérez Galdós, adapted by María Teresa Calderón and Marissa Garrido and directed by Luis Vélez.","[['Flor y canela', 'creator', 'Benito Pérez Galdós']]",['creator'],creator: The subject entity was created or authored by the person or entity specified by the object entity.
"John Harsanyi is best known for his contributions to the study of game theory and its application to economics, specifically for his developing the highly innovative analysis of games of incomplete information, so-called Bayesian games.","[['John Harsanyi', 'field of work', 'Economics'], ['John Harsanyi', 'field of work', 'Game theory']]",['field of work'],field of work: The subject entity is associated with or specializes in the area of study or professional discipline specified by the object entity.
"Evan Dimas operates primarily as a central midfielder, but can also be deployed as an attacking midfielder, defensive midfielder, and deep-lying playmaker.","[['Evan Dimas', 'position played on team / speciality', 'Midfielder']]",['position played on team / speciality'],position played on team / speciality: The subject entity plays the specified position or has the specified speciality on the team.
Pickaxe Pete is a platform game released as cartridge number 43 for the Philips Videopac console.,"[['Pickaxe Pete', 'publisher', 'Philips']]",['publisher'],publisher: The subject entity was published or released by the entity specified by the object entity.
Thomas Crook Sullivan's cremated remains were later buried in Section one of Arlington National Cemetery.,"[['Thomas Crook Sullivan', 'place of burial', 'Arlington National Cemetery']]",['place of burial'],place of burial: The subject entity's remains were interred in the location specified by the object entity.
"The Scott sisters became established with the publication of Australian Lepidoptera and Alexander Walker Scott's transformations, drawn from the life by Harriet and Helena Scott which illustrated insects in the stages of metamorphosis, in the environment in which they lived and fed.","[['Alexander Walker Scott', 'child', 'Helena Scott']]",['child'],child: The subject entity is a descendant or offspring of the object entity.
"Shokanbetsudake Mountains is part of the Mashike Mountains, separated from the other part of the Mashike Mountains to the south, the Kabato Mountains by the Hamamasu River.","[['Shokanbetsudake Mountains', 'mountain range', 'Mashike Mountains']]",['mountain range'],mountain range: The subject entity is a part of the mountain range specified by the object entity.
"Laid down in 1914 as the SS Henry M. Flagler by William Cramp & Sons, Philadelphia, and renamed SS Columbia Heights in 1940, USS Keokuk ( CMc-6 ) was acquired by the U.S. Navy on 28 July 1941 for conversion to a Coastal Minelayer, CMc-6.","[['USS Keokuk ( CMc-6 )', 'manufacturer', 'William Cramp & Sons']]",['manufacturer'],manufacturer: The subject entity was produced or constructed by the entity specified by the object entity.
Trap shooter and 1984 silver medalist Francisco Boza etched Peru at the 2016 Summer Olympics's name into the historic records as the first ever Peruvian to compete in eight Olympic Games.,"[['Peru at the 2016 Summer Olympics', 'flag bearer', 'Francisco Boza']]",['flag bearer'],flag bearer: The subject entity represents the individual or entity that carried the flag during the event specified by the object entity.
"Its single species, Pseudoborocera legrasi, described by the same author in the same year, is found in Madagascar.","[['Pseudoborocera', 'taxonomic type', 'Pseudoborocera legrasi']]",['taxonomic type'],taxonomic type: The subject entity is classified under the taxonomic category specified by the object entity.
"During Jane Frances de Chantal's first eight years, the new order also was unusual in its public outreach, in contrast to most female religious who remained cloistered and adopted strict ascetic practices.","[['Jane Frances de Chantal', 'sex or gender', 'female']]",['sex or gender'],sex or gender: The subject entity is identified as belonging to the sex or gender specified by the object entity.
"Mellette County , South Dakota was named for Arthur C. Mellette, the last Governor of the Dakota Territory and the first Governor of the state of South Dakota.","[['Mellette County , South Dakota', 'named after', 'Arthur C. Mellette']]",['named after'],named after: The subject entity is named in honor of or derived from the person or entity specified by the object entity.
Strange Portrait is considered to be a lost film.,"[['Strange Portrait', 'significant event', 'Lost film']]",['significant event'],significant event: The subject entity is associated with an important occurrence or milestone represented by the object entity.
"The Decree of Themistocles or Troezen Inscription is an ancient Greek inscription, found at Troezen, discussing Greek strategy in the Greco-Persian Wars, purported to have been issued by the Athenian assembly under the guidance of Themistocles.","[['Decree of Themistocles', 'location of discovery', 'Troezen']]",['location of discovery'],location of discovery: The subject entity was discovered or found in the location specified by the object entity.
Khan Daan ( 1942 film ) was written by author Imtiaz Ali Taj and made in Pancholi's Lahore studio.,"[['Khan Daan ( 1942 film )', 'screenwriter', 'Imtiaz Ali Taj']]",['screenwriter'],screenwriter: The subject entity was written by the person or entity specified by the object entity.
Mubarak was detained in a military hospital and Hosni Mubarak's sons were freed 12 October 2015 by a Cairo court.,"[['Hosni Mubarak', 'residence', 'Cairo']]",['residence'],residence: The subject entity is located in or has a home in the place specified by the object entity.
"In the Greek Septuagint version of the bible, and in Psalm 146's Latin translation in the Vulgate, this psalm is Psalm 145 in a slightly different numbering system.","[['Psalm 146', 'follows', 'Psalm 145']]",['follows'],"follows: The subject entity comes after the object entity in a sequence or order, indicating a relationship of succession between the two."
"VHS compilations of Maple Town appeared in North America, Europe and Japan during the late 1980s and early 1990s.","[['Maple Town', 'country of origin', 'Japan']]",['country of origin'],country of origin: The subject entity originated or was created in the location specified by the object entity.
Sulci Gordii in the feature in the Tharsis quadrangle of Mars.,"[['Sulci Gordii', 'location', 'Tharsis quadrangle'], ['Sulci Gordii', 'located on astronomical location', 'Mars']]","['located on astronomical location', 'location']","located on astronomical location: The subject entity is situated on the astronomical location specified by the object entity.

location: The subject entity is found in the geographical area or feature specified by the object entity."
The Ring ( 1996 film ) stars Nastassja Kinski and Michael York.,"[['The Ring ( 1996 film )', 'cast member', 'Nastassja Kinski']]",['cast member'],cast member: The subject entity includes the person specified by the object entity as a member of its cast.
"St Mark 's Church , Saltney is an active Anglican parish church in the deanery of Chester, the archdeaconry of Chester, and the diocese of Chester.","[[""St Mark 's Church , Saltney"", 'diocese', 'Diocese of Chester']]",['diocese'],diocese: The subject entity is affiliated with the ecclesiastical jurisdiction specified by the object entity.
"Yi Long (Chinese: ; pinyin: yī lóng), birth name Liu Xingjun (Chinese: ; pinyin: Liú Xīngjūn), is a practitioner of Chinese Wushu and other martial arts who competes in the Super Welterweight, Welterweight and Super Middleweight divisions.","[['Yi Long', 'family name', 'Liu']]",['family name'],family name: The subject entity is associated with the family name specified by the object entity.
Clofibrate (trade name Atromid-S) is a lipid-lowering agent used for controlling the high cholesterol and triacylglyceride level in the blood.,"[['Clofibrate', 'subject has role', 'Lipid-lowering agent']]",['subject has role'],subject has role: The subject entity performs or fulfills the role specified by the object entity.
"Beginning in 1775, Meggy MacIntosh follows the story of a young Scottish orphan who becomes involved with the American revolutionary cause in North Carolina despite her attachment to Flora MacDonald, a loyalist.","[['Meggy MacIntosh', 'main subject', 'Orphan'], ['Meggy MacIntosh', 'narrative location', 'North Carolina']]","['narrative location', 'main subject']","narrative location: The subject entity is set in or takes place in the location specified by the object entity.

main subject: The subject entity revolves around or focuses on the character or theme specified by the object entity."
"Simon of Ireland, of the late medieval era, was the author of a Latin poem ""in seventeen lacklustre hexameters of a law case involving a parson's theft of an ox.""","[['Simon of Ireland', 'languages spoken, written or signed', 'Latin']]","['languages spoken, written or signed']","languages spoken, written or signed: The subject entity is associated with the language(s) in which it communicates, writes, or expresses itself, as specified by the object entity."
"Wood Lane Hall is a Grade I listed building near Sowerby, West Yorkshire, England.","[['Wood Lane Hall', 'heritage designation', 'Grade I listed building']]",['heritage designation'],heritage designation: The subject entity is recognized or classified under the specified heritage designation indicated by the object entity.
"The Safien Valley (Safiental) is an alpine valley of the Canton of Graubünden, branching off the Vorderrhein valley.","[['Safien Valley', 'different from', 'Safiental']]",['different from'],"different from: The subject entity is not the same as the object entity, indicating a distinction or difference between the two."
"Erkan Teper held the European heavyweight title in 2015, but was stripped by the EBU for failing a drug test.","[['Erkan Teper', 'competition class', 'Heavyweight']]",['competition class'],competition class: The subject entity is associated with the specified category or classification of competition represented by the object entity.
"It is composed of six villages: Călata (Nagykalota), Călățele, Călățele-Pădure, Dealu Negru (Bánffytelep), Finciu (Kalotaújfalu) and Văleni (Magyarvalkó).","[['Călățele', 'contains settlement', 'Dealu Negru'], ['Călățele', 'contains settlement', 'Văleni'], ['Călățele', 'contains settlement', 'Finciu'], ['Călățele', 'contains settlement', 'Călata']]",['contains settlement'],contains settlement: The subject entity includes or is made up of the settlement specified by the object entity.
"Critical analysis of the story has focused on Cigars of the Pharaoh's innovation, and the Adventure introduces the recurring characters of detectives Thomson and Thompson and villain Rastapopoulos.","[['Cigars of the Pharaoh', 'characters', 'Thomson and Thompson'], ['Cigars of the Pharaoh', 'characters', 'Rastapopoulos']]",['characters'],characters: The subject entity features or includes the individuals or entities specified by the object entity as characters within its narrative or storyline.
Meinrad von Lauchert was a recipient of the Knight's Cross of the Iron Cross with Oak Leaves.,"[['Meinrad von Lauchert', 'award received', ""Knight's Cross of the Iron Cross with Oak Leaves""]]",['award received'],award received: The subject entity has been honored or recognized with the award specified by the object entity.
"A year later, Van Dijk captained the Netherlands to the final of the inaugural UEFA Nations League, where Virgil van Dijk finished runners-up.","[['Virgil van Dijk', 'country for sport', 'Netherlands']]",['country for sport'],country for sport: The subject entity represents an individual who competes in sports for the country specified by the object entity.
"Liepa's debut on the stage of the Moscow State Academic Bolshoi Theatre saw him perform Basil in Don Quixote, again with Maya Plisetskaya in the early 1960s, and shortly after Māris Liepa played the most crucial role of his career - Count Albert in staging of Giselle.","[['Māris Liepa', 'spouse', 'Maya Plisetskaya']]",['spouse'],spouse: The subject entity is married to or has a marital relationship with the person specified by the object entity.
"Spring Mountain Junior / Senior High School is operated by the Clark County School District, but it is also part of the Spring Mountain Youth Camp in the Clark County Juvenile Justice System.","[['Spring Mountain Junior / Senior High School', 'school district', 'Clark County School District']]",['school district'],school district: The subject entity is managed or operated by the school district specified by the object entity.
Grevillea alpivaga is endemic to Victoria in Australia.,"[['Grevillea alpivaga', 'endemic to', 'Australia']]",['endemic to'],endemic to: The subject entity is native to or exclusively found in the location specified by the object entity.
"The MMRDA was set up on 26 January 1975 under the Mumbai Metropolitan Region Development Authority Act, 1974 Government of Maharashtra as an apex body for planning and co-ordination of development activities in the Region.","[['Mumbai Metropolitan Region Development Authority', 'inception', '26 January 1975']]",['inception'],inception: The subject entity was established or came into existence on the date specified by the object entity.
"Questions for the Future is a debate television series aired periodically on financial news channels CNBC Europe, CNBC Asia and CNBC World in the US, currently focusing on the subject of energy.","[['Questions for the Future', 'original network', 'CNBC Europe']]",['original network'],original network: The subject entity was broadcasted or aired on the network specified by the object entity.
Afterfall : Insanity was released for Microsoft Windows on 25 November 2011.,"[['Afterfall : Insanity', 'publication date', '25 November 2011'], ['Afterfall : Insanity', 'platform', 'Microsoft Windows']]","['platform', 'publication date']","platform: The subject entity is available for use or play on the platform specified by the object entity.  
publication date: The subject entity was published or released on the date specified by the object entity."
The United Party of Jan Smuts won an absolute majority over 1943 South African general election's opponents in the House of Assembly.,"[['1943 South African general election', 'successful candidate', 'Jan Smuts']]",['successful candidate'],"successful candidate: The subject entity refers to an election, and the object entity is the individual or party that achieved victory in that election."
USS Skylark ( AM-63 ) earned three battle stars during World War II.,"[['USS Skylark ( AM-63 )', 'conflict', 'World War II']]",['conflict'],conflict: The subject entity was involved in the conflict specified by the object entity.
"Aten died of pneumonia at Ira Aten's daughter's home in Burlingame, California, and was buried in the Evergreen Cemetery in El Centro.","[['Ira Aten', 'cause of death', 'Pneumonia']]",['cause of death'],cause of death: The subject entity is the reason or medical condition that led to the death of the individual specified by the object entity.
"Poul Hultberg designed several sport facilities, the most famous being Scandinavium in 1971.","[['Poul Hultberg', 'notable work', 'Scandinavium']]",['notable work'],"notable work: The subject entity is recognized for creating or contributing to the work specified by the object entity, which is considered significant or noteworthy."
Seatrain ( album ) was the first record produced by George Martin after his work with The Beatles.,"[['Seatrain ( album )', 'producer', 'George Martin']]",['producer'],producer: The subject entity was produced by the person or entity specified by the object entity.
HMIS Tir was converted into a midshipman's training ship in Bombay in 1948.,"[['HMIS Tir', 'use', 'Training ship']]",['use'],use: The subject entity is utilized for the purpose or function specified by the object entity.
Morg was created by Ron Lim and Ron Marz and first appeared in Silver Surfer vol.,"[['Morg', 'enemy of', 'Silver Surfer']]",['enemy of'],"enemy of: The subject entity is in opposition or conflict with the object entity, often characterized by hostility or rivalry."
"Historically, the names of en dash and em dash came from the width of an uppercase N and uppercase M, respectively, in commonly used fonts.","[['Dash', 'derivative work', 'dash']]",['derivative work'],derivative work: The subject entity is a work that is based on or derived from the original work specified by the object entity.
Halka Na Lo was first aired on 31 August 2012 directed by Salman Abbas and written by Rizwan Hassan.,"[['Halka Na Lo', 'start time', '31 August 2012']]",['start time'],start time: The subject entity began or was first presented at the time specified by the object entity.
"About 25,000 years old, Venus of Brassempouy is one of the earliest known realistic representations of a human face.","[['Venus of Brassempouy', 'depicts', 'Face']]",['depicts'],depicts: The subject entity represents or illustrates the object entity in a visual or artistic form.
"Structurally, ecgonine is a cycloheptane derivative with a nitrogen bridge.","[['Ecgonine', 'has part', 'Nitrogen']]",['has part'],has part: The subject entity is composed of or includes the component specified by the object entity as a part of its structure.
"Nadorite crystallizes in the orthorhombic crystal system and is brown, brownish-yellow or yellow in color, with a white or yellowish-white streak.","[['Nadorite', 'crystal system', 'Orthorhombic crystal system']]",['crystal system'],crystal system: The subject entity is classified under the specific crystal system indicated by the object entity.
"The Arabic and Hebrew alphabets have similarities because Hebrew alphabet are both derived from the Aramaic alphabet, and both derive from paleo-Hebrew or Phoenician alphabet.","[['Hebrew alphabet', 'based on', 'Aramaic alphabet']]",['based on'],"based on: The subject entity is derived from or influenced by the object entity, indicating a foundational relationship where the subject entity's characteristics or structure are rooted in the object entity."
"Distributed R is written in C++ and R, and retains the familiar look and feel of R. As of February 2015, Hewlett-Packard (HP) provides enterprise support for Distributed R with proprietary additions such as a fast data loader from the Vertica database.","[['Distributed R', 'developer', 'Hewlett-Packard']]",['developer'],developer: The subject entity was developed or created by the person or entity specified by the object entity.
Kannikakaew was a member of Siamese royal family and is a daughter of King Mongkut and Princess Phannarai and She is a sister different mother of King Chulalongkorn and had one younger brother as Prince Narisara Nuvadtivongs.,"[['Kannikakaew', 'noble title', 'Princess'], ['Kannikakaew', 'mother', 'Phannarai'], ['Kannikakaew', 'father', 'Mongkut']]","['father', 'mother', 'noble title']","father: The subject entity is the parent of the object entity, indicating a direct familial relationship where the subject is the male progenitor.

mother: The subject entity is the parent of the object entity, indicating a direct familial relationship where the subject is the female progenitor.

noble title: The subject entity holds the title specified by the object entity, indicating a status or rank within a royal or noble hierarchy."
"Psi Ursae Majoris (Psi UMa,  Ursae Majoris,  UMa) is a star in the northern circumpolar constellation of Ursa Major.","[['Psi Ursae Majoris', 'constellation', 'Ursa Major']]",['constellation'],constellation: The subject entity is located within the constellation specified by the object entity.
Royal Dutch Shell has secondary listings on Euronext Amsterdam and the New York Stock Exchange.,"[['Royal Dutch Shell', 'stock exchange', 'Euronext'], ['Royal Dutch Shell', 'stock exchange', 'New York Stock Exchange']]",['stock exchange'],stock exchange: The subject entity is listed on the stock exchange specified by the object entity.
The Trier Gospels was written by two scribes between the years 720 and 740 A.D. in Echternach Abbey The gospel is currently located at Trier Cathedral Treasury.,"[['Trier Gospels', 'collection', 'Trier Cathedral']]",['collection'],collection: The subject entity is part of or housed within the collection specified by the object entity.
"Irina Bondarchuk made six appearances at the Austin Marathon, winning in 1994 and coming runner-up in 1995.","[['Irina Bondarchuk', 'sports discipline competed in', 'Marathon']]",['sports discipline competed in'],sports discipline competed in: The subject entity participated in the specified sports discipline represented by the object entity.
"On 1 January 2018, Laigné was merged into the new commune of Prée-d'Anjou.","[['Laigné', 'replaced by', ""Prée-d'Anjou""]]",['replaced by'],"replaced by: The subject entity was superseded or succeeded by the object entity, indicating a change in status or administrative structure."
"Bo'ao, seat of the Boao Forum for Asia, belongs to Qionghai City.","[['Qionghai', 'contains administrative territorial entity', ""Bo'ao""]]",['contains administrative territorial entity'],contains administrative territorial entity: The subject entity includes or encompasses the administrative territorial entity specified by the object entity.
"Ali Hassan al-Majid's appeal of the death sentence was rejected on 4 September 2007, and he was sentenced to death for the fourth time on 17 January 2010 and was hanged eight days later, on 25 January 2010.","[['Ali Hassan al-Majid', 'date of death', '25 January 2010']]",['date of death'],date of death: The subject entity died on the date specified by the object entity.
Henrietta Hancock Britton's work is included in the collection of the National Gallery of Canada and in private collections.,"[['Henrietta Hancock Britton', 'has works in the collection', 'National Gallery of Canada']]",['has works in the collection'],has works in the collection: The subject entity has created or produced works that are included in the collection specified by the object entity.
Miekojärvi flows through Tengeliönjoki to Torne (river).,"[['Miekojärvi', 'lake outflow', 'Tengeliönjoki']]",['lake outflow'],lake outflow: The subject entity is a lake that discharges water into the river or watercourse specified by the object entity.
"Guriaso language is spoken in Guriaso ward (3.581107°S 141.592197°E), Amanab Rural LLG, Sandaun Province.","[['Guriaso language', 'indigenous to', 'Sandaun Province']]",['indigenous to'],indigenous to: The subject entity is originally from or native to the location specified by the object entity.
Metropolitan City of Rome Capital superseded the Province of Rome.,"[['Metropolitan City of Rome Capital', 'replaces', 'Province of Rome']]",['replaces'],"replaces: The subject entity takes the place of or supersedes the object entity, indicating a change in status or governance."
"Bridget Haraldsdotter's Irish first name was the same as that of her father's Irish mother, Brigida O'Brien (d. 1138).","[['Bridget Haraldsdotter', 'given name', 'Brigida']]",['given name'],"given name: The subject entity has a name that is specified by the object entity, indicating a personal or familial connection."
"In 1986, UCCEL Corporation purchased Cambridge Systems Group, Inc., which marketed for SKK, Inc. and their market-leading ACF2 mainframe security product.","[['Uccel', 'legal form', 'corporation']]",['legal form'],legal form: The subject entity is classified under the type of legal structure specified by the object entity.
"At the start of the First World War Henry Maybury was appointed to supervise roads used by the Allies in France, holding the British Army rank of Brigadier-General.","[['Henry Maybury', 'military branch', 'British Army']]",['military branch'],military branch: The subject entity is associated with or belongs to the military branch specified by the object entity.
Unsportsmanlike conduct (also called unsporting behaviour or ungentlemanly conduct or bad sportsmanship or poor sportsmanship or anti fair-play) is a foul or offense in many sports that violates the sport's generally accepted rules of sportsmanship and participant conduct.,"[['Unsportsmanlike conduct', 'opposite of', 'Sportsmanship'], ['Unsportsmanlike conduct', 'facet of', 'Sport']]","['opposite of', 'facet of']","opposite of: The subject entity represents a concept or behavior that is contrary to the concept or behavior specified by the object entity.

facet of: The subject entity is a specific aspect or component of the broader category or concept specified by the object entity."
"Released by Columbia Pictures and produced by Normandy Productions, The Three Stooges In Orbit was directed by long-time Stooge director Edward Bernds, whom Moe later cited as the team's finest director.","[['The Three Stooges in Orbit', 'distributor', 'Columbia Pictures'], ['The Three Stooges in Orbit', 'director', 'Edward Bernds']]","['distributor', 'director']","distributor: The subject entity is distributed by the entity specified by the object entity, indicating the organization responsible for making the subject available to the public.

director: The subject entity was directed by the person or entity specified by the object entity, indicating the individual responsible for overseeing the creative aspects of the subject."
